20:27:47.705 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:28:10.196 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:28:10.478 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1041.55	-1.1000000000001364	0.8999999999998636	149.39999999997735	-1.4500000000000455	-3.0499999999999545	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.479 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1041.0	-0.5499999999999545	0.34999999999990905	58.0999999999849	0.0	-3.599999999999909	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.479 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.0	-1.0	-0.650000000000091	-107.9000000000151	-1.0	-4.599999999999909	STOPLOSS	0.2999999999999545	49.79999999999245
20:42:15.533 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:42:15.762 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.45	0.40000000000009095	0.40000000000009095	41.60000000000946	0.0	0.0	ACTIVE	0.40000000000009095	41.60000000000946
20:42:15.763 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.5499999999999545	0.9500000000000455	98.80000000000473	0.0	0.0	ACTIVE	0.9500000000000455	98.80000000000473
20:42:15.764 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.7	-0.2999999999999545	0.650000000000091	67.60000000000946	-0.2999999999999545	-0.2999999999999545	ACTIVE	0.650000000000091	67.60000000000946
20:42:15.764 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.5	-0.20000000000004547	0.4500000000000455	46.80000000000473	-0.5	-0.5	ACTIVE	0.4500000000000455	46.80000000000473
20:42:15.765 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.65	0.15000000000009095	0.6000000000001364	62.40000000001419	-0.34999999999990905	-0.34999999999990905	ACTIVE	0.6000000000001364	62.40000000001419
20:42:15.766 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.85	0.1999999999998181	0.7999999999999545	83.19999999999527	-0.15000000000009095	-0.15000000000009095	ACTIVE	0.7999999999999545	83.19999999999527
20:42:15.766 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.15000000000009095	0.9500000000000455	98.80000000000473	0.0	0.0	ACTIVE	0.9500000000000455	98.80000000000473
20:42:15.767 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.35	-0.650000000000091	0.2999999999999545	31.19999999999527	-0.650000000000091	-0.650000000000091	ACTIVE	0.2999999999999545	31.19999999999527
20:42:15.768 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.95	0.6000000000001364	0.900000000000091	93.60000000000946	-0.049999999999954525	-0.049999999999954525	ACTIVE	0.900000000000091	93.60000000000946
20:42:15.769 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.8	-0.15000000000009095	0.75	78.0	-0.20000000000004547	-0.20000000000004547	ACTIVE	0.75	78.0
20:42:15.769 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.95	0.15000000000009095	0.900000000000091	93.60000000000946	-0.049999999999954525	-0.049999999999954525	ACTIVE	0.900000000000091	93.60000000000946
20:42:15.770 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.9	-0.049999999999954525	0.8500000000001364	88.40000000001419	-0.09999999999990905	-0.09999999999990905	ACTIVE	0.8500000000001364	88.40000000001419
20:42:15.771 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.09999999999990905	0.9500000000000455	98.80000000000473	0.0	0.0	ACTIVE	0.9500000000000455	98.80000000000473
20:42:15.772 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.05	0.049999999999954525	1.0	104.0	0.0	0.0	ACTIVE	1.0	104.0
20:42:15.772 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.35	0.2999999999999545	1.2999999999999545	135.19999999999527	0.0	0.0	ACTIVE	1.2999999999999545	135.19999999999527
20:42:15.773 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.4	0.0500000000001819	1.3500000000001364	140.4000000000142	0.0	0.0	ACTIVE	1.3500000000001364	140.4000000000142
20:42:15.774 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.15	-0.25	1.1000000000001364	114.40000000001419	-0.25	-0.25	ACTIVE	1.1000000000001364	114.40000000001419
20:42:15.774 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.35	-0.8000000000001819	0.2999999999999545	31.19999999999527	-1.050000000000182	-1.050000000000182	ACTIVE	0.2999999999999545	31.19999999999527
20:42:15.775 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.0	-0.34999999999990905	-0.049999999999954525	-5.199999999995271	-1.400000000000091	-1.400000000000091	ACTIVE	-0.049999999999954525	-5.199999999995271
20:42:15.776 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.65	-0.34999999999990905	0.0	0	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.777 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.75	-0.09999999999990905	-0.09999999999990905	-10.399999999990541	-0.09999999999990905	-0.09999999999990905	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.777 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.05	-0.2999999999999545	-0.3999999999998636	-41.59999999998581	-0.3999999999998636	-0.3999999999998636	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.778 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	0.049999999999954525	-0.34999999999990905	-36.39999999999054	-0.34999999999990905	-0.34999999999990905	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.778 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.6	-0.599999999999909	-0.9499999999998181	-98.79999999998108	-0.9499999999998181	-0.9499999999998181	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.779 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.1	0.5	-0.4499999999998181	-46.79999999998108	-0.4499999999998181	-0.4499999999998181	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.779 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.95	0.14999999999986358	-0.2999999999999545	-31.19999999999527	-0.2999999999999545	-0.2999999999999545	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.779 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	-0.049999999999954525	-0.34999999999990905	-36.39999999999054	-0.34999999999990905	-0.34999999999990905	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.780 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.45	0.5499999999999545	0.20000000000004547	20.80000000000473	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.780 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.7	-0.25	-0.049999999999954525	-5.199999999995271	-0.25	-0.25	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.781 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.65	0.049999999999954525	0.0	0.0	-0.20000000000004547	-0.20000000000004547	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.781 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.55	0.10000000000013642	0.10000000000013642	10.400000000014188	-0.09999999999990905	-0.09999999999990905	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.782 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.45	0.09999999999990905	0.20000000000004547	20.80000000000473	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.782 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.4	0.049999999999954525	0.25	26.0	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.783 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.4	-0.0	0.25	26.0	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
